presentation_order,filename,rating,rt_seconds
107,18_1_0_20170109212422272_proc.png,3,1.316
108,24_1_0_20170116174738833_proc.png,4,7.726
109,18_1_0_20170109214120554_proc.png,4,2.538
110,21_1_0_20170117142529474_proc.png,3,0.746
111,25_1_0_20170117141726361_proc.png,3,2.672
112,19_1_0_20170109212903959_proc.png,3,1.126
113,22_1_0_20170112233750014_proc.png,3,1.849
114,18_1_0_20170109212936696_proc.png,4,2.324
115,20_1_0_20170114031424981_proc.png,4,1.069
116,25_1_0_20170104234942017_proc.png,3,1.668
117,22_1_0_20170114033329650_proc.png,4,6.947
118,23_1_0_20170116221829199_proc.png,3,1.3
119,18_1_0_20170109213935367_proc.png,4,2.363
120,18_1_0_20170109212849263_proc.png,2,9.49
121,20_1_0_20170103201733831_proc.png,4,1.323
122,18_1_0_20170109213919463_proc.png,4,0.98
123,22_1_0_20170120133800998_proc.png,3,0.699
124,23_1_0_20170117145123986_proc.png,3,0.851
125,21_1_0_20170105002525812_proc.png,3,0.684
126,21_1_0_20170117142529474_proc.png,3,0.636
127,22_1_0_20170120133800998_proc.png,3,0.756
128,22_1_0_20170116220938702_proc.png,4,0.725
129,25_1_0_20170117195134252_proc.png,4,0.979
130,25_1_0_20170116201701430_proc.png,3,0.766
131,20_1_0_20170117133854316_proc.png,3,0.842
132,18_1_0_20170117140331327_proc.png,3,3.171
133,22_1_0_20170116220936851_proc.png,3,0.883
134,23_1_0_20170104021538021_proc.png,3,1.482
135,22_1_0_20170116220934918_proc.png,3,0.908
136,18_1_0_20170109214251980_proc.png,4,1.204
137,18_1_0_20170117140331327_proc.png,4,1.292
138,20_1_0_20170117141400913_proc.png,3,3.493
139,24_1_0_20170116220317125_proc.png,1,4.179
140,24_1_0_20170104022714148_proc.png,3,0.883
141,25_1_0_20170103163054063_proc.png,4,5.612
142,25_1_0_20170117140138784_proc.png,4,1.507
143,23_1_0_20170116221829961_proc.png,5,1.109
144,23_1_0_20170117144945297_proc.png,3,2.356
145,21_1_0_20170112233431458_proc.png,3,0.762
146,18_1_0_20170109212422272_proc.png,3,1.035
147,22_1_0_20170105002545990_proc.png,5,3.835
148,20_1_0_20170109214040024_proc.png,3,0.701
149,23_1_0_20170112234331591_proc.png,3,0.554
150,21_1_0_20170105002525812_proc.png,3,0.812
151,22_1_0_20170112233731616_proc.png,3,0.66
152,20_1_0_20170119153410801_proc.png,3,1.379
153,22_1_0_20170103180211110_proc.png,3,2.157
154,25_1_0_20170103183722595_proc.png,4,1.715
155,24_1_0_20170117150909051_proc.png,3,0.947
156,20_1_0_20170117193612788_proc.png,3,1.267
157,18_1_0_20170109214453184_proc.png,4,1.42
158,21_1_0_20170112233433959_proc.png,4,0.876
159,19_1_0_20170104011946801_proc.png,4,0.804
160,23_1_0_20170116222839270_proc.png,3,1.251
161,18_1_0_20170109214700491_proc.png,4,1.082
162,25_1_0_20170116213524092_proc.png,3,1.178
163,23_1_0_20170116221811019_proc.png,3,20.476
164,20_1_0_20170117141400913_proc.png,3,0.677
165,25_1_0_20170117141331623_proc.png,3,33.66
166,23_1_0_20170117144822363_proc.png,3,0.861
167,18_1_0_20170104022856102_proc.png,3,0.804
168,21_1_0_20170117141834506_proc.png,3,0.652
169,21_1_0_20170117142333762_proc.png,3,1.075
170,18_1_0_20170109213938695_proc.png,3,1.547
171,24_1_0_20170116211912644_proc.png,3,1.645
172,24_1_0_20170116220232605_proc.png,3,1.13
173,23_1_0_20170104165334721_proc.png,4,0.653
174,25_1_0_20170117152038451_proc.png,3,0.636
175,25_1_0_20170117140138784_proc.png,4,0.973
176,25_1_0_20170117151432922_proc.png,3,2.172
177,19_1_0_20170109213247084_proc.png,3,1.804
178,24_1_0_20170104022714148_proc.png,3,1.053
179,18_1_0_20170109205411880_proc.png,3,0.963
180,24_1_0_20170117194916850_proc.png,3,1.02
181,21_1_0_20170109213123896_proc.png,3,0.667
182,23_1_0_20170112234331591_proc.png,3,0.66
183,21_1_0_20170117142333762_proc.png,3,1.9
184,20_1_0_20170113005610158_proc.png,3,0.962
185,18_1_0_20170109213935367_proc.png,2,2.644
186,25_1_0_20170103180835288_proc.png,4,1.1
187,18_1_0_20170109213142404_proc.png,2,1.843
188,22_1_0_20170114033329650_proc.png,4,9.237
189,25_1_0_20170117140624359_proc.png,4,1.012
